,year,category,nominee,artist,workers,winner
93,2019,Best R&B Performance,Love Again,Daniel Caesar & Brandy,,False
94,2019,Best R&B Performance,Could've Been,H.E.R. Featuring Bryson Tiller,,False
95,2019,Best R&B Performance,Exactly How I Feel,Lizzo Featuring Gucci Mane,,False
96,2019,Best R&B Performance,Roll Some Mo,Lucky Daye,,False
97,2019,Best Traditional R&B Performance,Jerome,Lizzo,,True
98,2019,Best Traditional R&B Performance,Time Today,BJ The Chicago Kid,,False
99,2019,Best Traditional R&B Performance,Steady Love,India.Arie,,False
100,2019,Best Traditional R&B Performance,Real Games,Lucky Daye,,False
101,2019,Best Traditional R&B Performance,Built For Love,PJ Morton Featuring Jazmine Sullivan,,False
102,2019,Best R&B Song,Say So,,"PJ Morton, songwriter (PJ Morton Featuring JoJo)",True
103,2019,Best R&B Song,Could've Been,,"Dernst Emile II, David “Swagg R’Celious” Harris, H.E.R. & Hue “Soundzfire” Strother, songwriters (H.E.R. Featuring Bryson Tiller)",False
104,2019,Best R&B Song,Look At Me Now,,"Emily King & Jeremy Most, songwriters (Emily King)",False
105,2019,Best R&B Song,No Guidance,,"Chris Brown, Tyler James Bryant, Nija Charles, Aubrey Graham, Anderson Hernandez, Joshua Huizar, Michee Patrick Lebrun, Noah Shebib & Teddy Walton, songwriters (Chris Brown Featuring Drake)",False
106,2019,Best R&B Song,Roll Some Mo,,"David Brown, Dernst Emile II & Peter Lee Johnson, songwriters (Lucky Daye)",False
107,2019,Best Urban Contemporary Album,Cuz I Love You (Deluxe),Lizzo,,True
108,2019,Best Urban Contemporary Album,Apollo XXI,Steve Lacy,,False
109,2019,Best Urban Contemporary Album,Overload,Georgia Anne Muldrow,,False
110,2019,Best Urban Contemporary Album,Saturn,NAO,,False
111,2019,Best Urban Contemporary Album,Being Human In Public,Jessie Reyez,,False
112,2019,Best R&B Album,Ventura,Anderson .Paak,,True
113,2019,Best R&B Album,1123,BJ The Chicago Kid,,False
114,2019,Best R&B Album,Painted,Lucky Daye,,False
115,2019,Best R&B Album,Ella Mai,Ella Mai,,False
116,2019,Best R&B Album,Paul,PJ Morton,,False
117,2019,Best Rap Performance,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,,True
118,2019,Best Rap Performance,Middle Child,J. Cole,,False
119,2019,Best Rap Performance,Suge,DaBaby,,False
120,2019,Best Rap Performance,Down Bad,"Dreamville Featuring J.I.D, Bas, J. Cole, EARTHGANG & Young Nudy",,False
121,2019,Best Rap Performance,Clout,Offset Featuring Cardi B,,False
122,2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,,True
123,2019,Best Rap/Sung Performance,Drip Too Hard,Lil Baby & Gunna,,False
124,2019,Best Rap/Sung Performance,Panini,Lil Nas X,,False
125,2019,Best Rap/Sung Performance,Ballin',Mustard Featuring Roddy Ricch,,False
126,2019,Best Rap/Sung Performance,The London,Young Thug Featuring J. Cole & Travis Scott,,False
127,2019,Best Rap Song,A Lot,,"Jermaine Cole, Dacoury Natche, 21 Savage & Anthony White, songwriters (21 Savage Featuring J. Cole)",True
128,2019,Best Rap Song,Bad Idea,,"Chancelor Bennett, Cordae Dunston, Uforo Ebong & Daniel Hackett, songwriters (YBN Cordae Featuring Chance The Rapper)",False
129,2019,Best Rap Song,Gold Roses,,"Noel Cadastre, Aubrey Graham, Anderson Hernandez, Khristopher Riddick-Tynes, William Leonard Roberts II, Joshua Quinton Scruggs, Leon Thomas III & Ozan Yildirim, songwriters (Rick Ross Featuring Drake)",False
130,2019,Best Rap Song,Racks In The Middle,,"Ermias Asghedom, Dustin James Corbett, Greg Allen Davis, Chauncey Hollis, Jr. & Rodrick Moore, songwriters (Nipsey Hussle Featuring Roddy Ricch & Hit-Boy)",False
131,2019,Best Rap Song,Suge,,"DaBaby, Jetsonmade & Pooh Beatz, songwriters (DaBaby)",False
132,2019,Best Rap Album,Igor,"Tyler, The Creator",,True
133,2019,Best Rap Album,Revenge Of The Dreamers III,Dreamville,,False
134,2019,Best Rap Album,Championships,Meek Mill,,False
135,2019,Best Rap Album,I Am > I Was,21 Savage,,False
136,2019,Best Rap Album,The Lost Boy,YBN Cordae,,False
